,srid,Created Date,Block_Number_c,sr status,CB_ID,CSR_Num,DateCreate,Block,Lot,status
1608,,,,,C1598182-1,17-00695117,2017-11-09 09:02:00,1138,048,
1609,,,,,C1671744-1,18-00376950,2018-05-22 11:09:00,2409B,036,PENDING
1610,,,,,C1616029-1,18-00376925,2018-05-22 14:15:00,4744,051,PENDING
1611,,,,,C787726-12,18-00376780,2018-05-23 08:45:00,3032,032,PENDING
1612,,,,,C1567012-1,18-00380598,2018-05-24 13:08:00,8361,013,PENDING
1613,,,,,C1426309-2,18-00380480,2018-05-24 15:49:00,2959B,054,PENDING
1614,,,,,C320476-6,18-00380415,2018-05-24 16:48:00,8286C,009,PENDING
1615,,,,,C1427643-3,18-00393935,2018-05-29 10:11:00,8323,017,PENDING
1616,,,,,C1634352-2,18-00393922,2018-05-29 11:44:00,2704,001B,PENDING
1617,,,,,C1497413-2,18-00393603,2018-05-30 15:23:00,3630A,031,NEW
1618,,,,,C826376-9,18-00393552,2018-05-30 16:27:00,2835A,007,PENDING
1619,,,,,C1465334-5,18-00393526,2018-05-31 07:33:00,2503,068,PENDING
1620,,,,,C1492251-8,18-00413482,2018-06-06 13:00:00,2175,041,PENDING
1621,,,,,C246732-20,,2018-07-10 13:53:00,2475,047,PENDING
1622,,,,,C1020543-4,,2018-07-11 14:54:00,0837,015A,PENDING
1623,,,,,C181575-21,,2018-07-11 15:11:00,0096,061,PENDING
1624,,,,,C1679870-1,,2018-07-12 14:47:00,2748E,008,PENDING
1625,,,,,C1569974-2,,2018-07-12 15:33:00,7027,011,PENDING
1626,,,,,C1607055-3,,2018-07-12 16:46:00,4275,013,PENDING
1627,,,,,C226958-18,,2018-07-13 14:14:00,3035,001,PENDING
1628,,,,,C1634361-2,,2018-07-16 13:05:00,8211A,010,PENDING
1629,,,,,C1502690-2,,2018-07-16 14:11:00,3264,077,PENDING
1630,,,,,C695424-20,,2018-07-16 15:47:00,2320A,044,PENDING
1631,,,,,C1402825-1,,2018-07-16 15:50:00,3043,085,PENDING
1632,,,,,C1676352-1,,2018-07-16 15:57:00,7027,014,PENDING
1633,,,,,C1684696-1,,2018-07-18 08:58:00,3254,031,PENDING
1634,,,,,C759002-15,,2018-07-18 09:38:00,2819,016,PENDING
1635,,,,,C1678819-1,,2018-07-18 13:00:00,2959,004,PENDING
1636,,,,,C1682390-1,,2018-07-18 13:00:00,2959,005,PENDING
1637,,,,,C1633707-1,,2018-07-18 16:30:00,8363,027,PENDING
1638,,,,,C1241938-5,,2018-07-19 09:48:00,8267,001,PENDING
1639,,,,,C1565937-1,,2018-07-19 11:04:00,2748C,017,PENDING
1640,,,,,C301464-9,,2018-07-19 15:18:00,3011,012,PENDING
1641,,,,,C1427686-3,,2018-07-19 16:06:00,2949,029,PENDING
1642,,,,,C1356062-3,,2018-07-19 16:23:00,3002,015,PENDING
1643,,,,,C1554871-4,,2018-07-20 15:29:00,8091,007,PENDING
1644,,,,,C848955-18,,2018-07-20 16:09:00,2152,006,PENDING
1645,,,,,C768922-15,,2018-07-24 08:47:00,0096,047,PENDING
1646,,,,,C1661553-2,,2018-07-24 13:00:00,2835,006,PENDING
1647,,,,,C1565849-4,,2018-07-25 09:10:00,0221,041,PENDING
1648,,,,,C688639-16,,2018-07-27 12:56:00,0057,012,PENDING
1649,,,,,C1697253-1,,2018-07-27 15:05:00,3039,008B,PENDING
1650,,,,,C1701680-1,,2018-07-30 16:10:00,7203,010,PENDING
1651,,,,,C1614365-2,,2018-07-30 16:59:00,3032,027B,PENDING
1652,,,,,C1503410-3,,2018-07-31 09:12:00,0209,024,
1653,,,,,C293146-13,,2018-07-31 11:35:00,0050,089,PENDING
1654,,,,,C1150767-1,,2018-08-01 12:19:00,0293,063,PENDING
1655,,,,,C629246-10,,2018-08-02 07:04:00,2178,081,PENDING
1656,,,,,C819368-5,,2018-08-02 09:04:00,0338,020,
1657,,,,,C237984-11,,2018-08-03 14:19:00,0263,069,PENDING
1658,,,,,C207141-20,,2018-08-03 14:39:00,0276,048,PENDING
1659,,,,,C1603861-1,,2018-08-06 15:00:00,4507,079,PENDING
1660,,,,,C1404909-5,,2018-08-07 14:36:00,0300C,070,PENDING
1661,,,,,C1658176-1,,2018-08-07 14:52:00,2142,045,PENDING
1662,,,,,C834630-14,,2018-08-08 10:41:00,2702,006,PENDING
1663,,,,,C1571341-3,,2018-08-09 17:01:00,7492C,454,PENDING
1664,,,,,C381869-25,,2018-08-10 13:52:00,7755,072T,PENDING
1665,,,,,C1416823-5,,2018-08-10 15:46:00,2404,035,PENDING
1666,,,,,C313234-17,,2018-08-10 16:26:00,3035,008,PENDING
1667,,,,,C632372-8,,2018-08-13 13:51:00,2167B,028,PENDING
1668,,,,,C182068-33,,2018-08-13 15:37:00,2170A,038,PENDING
1669,,,,,C1706973-1,,2018-08-14 14:45:00,3043,016,PENDING
1670,,,,,C1257252-4,,2018-08-14 15:34:00,8265,007,PENDING
1671,,,,,C1257258-4,,2018-08-14 15:37:00,8265,008,PENDING
1672,,,,,C1257262-4,,2018-08-14 15:41:00,8265,009,PENDING
1673,,,,,C1257264-4,,2018-08-14 15:43:00,8265,010,PENDING
1674,,,,,C1403206-4,,2018-08-15 09:08:00,8253,034,PENDING
1675,,,,,C279219-11,,2018-08-15 15:03:00,0072,073,PENDING
1676,,,,,C1459798-4,,2018-08-15 15:14:00,2870A,004,PENDING
1677,,,,,C1711450-1,,2018-08-17 15:32:00,4747A,023,PENDING
1678,,,,,C320813-17,,2018-08-21 07:42:00,2283,055,PENDING
1679,,,,,C473757-6,,2018-08-21 09:06:00,0397,001,
1680,,,,,C1072967-9,,2018-08-21 09:17:00,2350,057,PENDING
1681,,,,,C1509863-3,,2018-08-22 08:50:00,8032,033,PENDING
1682,,,,,C990643-4,,2018-08-23 13:22:00,8207A,004,PENDING
1683,,,,,C1539819-3,,2018-08-23 16:08:00,3003,077,PENDING
1684,,,,,C1539809-3,,2018-08-24 08:42:00,3003,079,PENDING
1685,,,,,C1539783-3,,2018-08-24 08:46:00,3003,081,PENDING
1686,,,,,C1539779-3,,2018-08-24 08:49:00,3003,082,PENDING
1687,,,,,C1539778-3,,2018-08-24 08:52:00,3003,083,PENDING
1688,,,,,C1539772-3,,2018-08-24 08:54:00,3003,084,PENDING
1689,,,,,C1539771-3,,2018-08-24 08:56:00,3003,085,PENDING
1690,,,,,C1222576-6,,2018-08-24 09:36:00,3004,069,PENDING
1691,,,,,C328874-16,,2018-08-24 09:38:00,3004,069A,PENDING
1692,,,,,C502553-10,,2018-08-24 14:56:00,2113,065,PENDING
1693,,,,,C814984-26,,2018-08-24 15:24:00,2230J,001,PENDING
1694,,,,,C402030-10,,2018-08-24 16:28:00,2434,016,PENDING
1695,,,,,C610700-13,,2018-08-27 08:53:00,0221,037C,PENDING
1696,,,,,C1606385-2,,2018-08-27 08:59:00,0221,038,PENDING
1697,,,,,C1713662-1,,2018-08-28 16:41:00,4804A,014A,PENDING
1698,,,,,C1594995-1,,2018-08-28 17:03:00,2445,032,PENDING
1699,,,,,C1371836-7,,2018-08-28 17:43:00,8293,019,PENDING
1700,,,,,C1540694-2,,2018-08-29 16:25:00,2956,007,PENDING
1701,,,,,C906702-9,,2018-09-04 08:55:00,0320,080,
1702,,,,,C1660800-2,,2018-09-04 16:18:00,3004,068,PENDING
1703,,,,,C729746-5,,2018-09-05 09:39:00,0339,062,
1704,,,,,C1038609-13,,2018-09-05 16:06:00,0329,010,
1705,,,,,C1421916-1,,2018-09-06 09:17:00,7472,025,PENDING
1706,,,,,C1669813-1,,2018-09-06 12:21:00,8190,004,PENDING
1707,,,,,C1652034-1,,2018-09-06 15:41:00,3461,030,NEW
1708,,,,,C265301-8,,2018-09-06 15:54:00,4586,053,PENDING
1709,,,,,C1703226-1,18-00716137,2018-09-17 08:43:00,2852,011,PENDING
1710,,,,,C312574-16,18-00718480,2018-09-18 07:20:00,8030B,001,PENDING
1711,,,,,C1551290-2,18-00744121,2018-09-28 09:51:00,2814,006,PENDING
1712,,,,,C840452-15,18-00745814,2018-09-28 17:09:00,3100N,027,PENDING
1713,,,,,C1601745-2,18-00778494,2018-10-15 09:47:00,2952,012,PENDING
1714,,,,,C1716724-1,18-00816494,2018-11-01 09:31:00,8255,034,PENDING
1715,,,,,C1715672-1,18-00827893,2018-11-07 13:19:00,7109,023,PENDING
1716,,,,,C1723036-1,19-00203425,2019-04-10 16:04:00,7419D,001,PENDING
1717,,,,,C183500-9,19-00218527,2019-04-17 14:29:00,2185,003,PENDING
1718,,,,,C1498482-3,19-00218597,2019-04-17 14:43:00,2185,004,PENDING
1719,,,,,C1774594-1,19-00234829,2019-04-25 09:22:00,2299A,033B,NEW
1720,,,,,C242433-13,19-00245451,2019-04-30 08:00:00,2275C,013,NEW
1721,,,,,C1263907-8,19-00247534,2019-04-30 15:36:00,7796,028,PENDING
1722,,,,,C216614-16,19-00248926,2019-05-01 08:11:00,2283,077,NEW
1723,,,,,C835692-11,19-00248929,2019-05-01 08:11:00,2530C,017A,NEW
1724,,,,,C216617-13,19-00248940,2019-05-01 08:15:00,2283,079,NEW
1725,,,,,C216635-20,19-00249009,2019-05-01 08:36:00,2283,084,NEW
1726,,,,,C1776488-1,19-00249056,2019-05-01 08:46:00,2283,066,NEW
1727,,,,,C450527-13,19-00249080,2019-05-01 08:53:00,2283,065,NEW
1728,,,,,C428038-8,19-00249593,2019-05-01 10:14:00,7492C,463,PENDING
1729,,,,,C227779-23,19-00249644,2019-05-01 10:21:00,7492C,491,PENDING
1730,,,,,C1400132-1,19-00249672,2019-05-01 10:28:00,2299B,033,NEW
1731,,,,,C376436-21,19-00249768,2019-05-01 10:42:00,2230G,066,NEW
1732,,,,,C871918-9,19-00251136,2019-05-01 16:03:00,2299E,027,PENDING
1733,,,,,C1679042-2,19-00251132,2019-05-01 16:03:00,7863,010,PENDING
1734,,,,,C986023-4,19-00251200,2019-05-01 16:13:00,2289,053,NEW
1735,,,,,C1146314-6,19-00254265,2019-05-02 15:07:00,2230G,045,NEW
1736,,,,,C1278944-4,19-00254422,2019-05-02 15:42:00,8188,039,PENDING
