,srid,Created Date,Block_Number_c,sr status,servicerequestnum,srstatus,createddate
36,18-00748381,2018-10-01 09:00:46,3900,Pending,,,
1060,20-00013109,2020-01-08 10:07:45,3900,Pending,,,
1066,20-00037768,2020-01-21 10:38:36,100,Open,,,
1535,19-00615066,2019-09-23 10:58:16,4100,Pending,,,
1608,,,,,19-00536922,Pending,2019-08-30T19:06:53.000
1609,,,,,19-00616072,Pending,2019-09-23T14:23:20.000
1610,,,,,19-00599984,Pending,2019-09-20T11:33:03.000
1611,,,,,19-00555053,Pending,2019-09-09T14:06:53.000
1612,,,,,19-00555032,Pending,2019-09-09T14:03:51.000
1613,,,,,19-00555031,Pending,2019-09-09T14:03:44.000
1614,,,,,19-00737575,Pending,2019-11-01T12:33:15.000
1615,,,,,19-00662801,Open,2019-05-28T09:20:00.000
1616,,,,,19-00659688,Open,2019-07-08T15:59:00.000
1617,,,,,19-00661075,Open,2019-07-09T15:31:00.000
1618,,,,,19-00659589,Pending,2019-05-28T16:12:00.000
1619,,,,,19-00657605,Pending,2019-06-21T19:04:00.000
1620,,,,,19-00672246,Pending,2019-10-01T12:28:30.000
1621,,,,,19-00662209,Pending,2019-07-12T16:09:00.000
1622,,,,,19-00661795,Open,2019-07-09T15:32:00.000
1623,,,,,19-00652556,Open,2019-05-02T10:30:15.000
1624,,,,,19-00652144,Open,2019-05-02T09:40:07.000
1625,,,,,19-00649759,Pending,2019-05-16T16:45:08.000
1626,,,,,20-00054989,Pending,2020-01-29T16:33:34.000
1627,,,,,20-00063243,Pending,2020-02-03T14:13:26.000
1628,,,,,20-00031271,Pending,2020-01-16T14:38:38.000
1629,,,,,19-00888572,Pending,2019-12-23T10:33:39.000
1630,,,,,19-00878873,Pending,2019-12-17T09:23:28.000
1631,,,,,19-00489982,Pending,2019-08-16T01:50:20.000
1632,,,,,19-00475163,Pending,2019-08-14T15:44:53.000
1633,,,,,19-00474759,Pending,2019-08-14T15:23:32.000
1634,,,,,19-00474376,Pending,2019-08-14T14:59:06.000
1635,,,,,19-00474342,Pending,2019-08-14T14:56:58.000
1636,,,,,19-00473487,Pending,2019-08-14T14:01:18.000
1637,,,,,20-00037681,Pending,2020-01-21T10:08:59.000
1638,,,,,19-00661549,Closed,2019-07-01T10:54:00.000
1639,,,,,19-00737530,Closed,2019-11-01T12:18:07.000
1640,,,,,18-00447985,Closed,2018-06-20T05:10:02.000
1641,,,,,19-00234364,Closed,2019-04-25T07:20:07.000
1642,,,,,19-00080823,Closed,2019-02-12T08:15:23.000
1643,,,,,19-00880364,Closed,2019-12-17T16:18:25.000
1644,,,,,19-00813602,Closed,2019-11-13T11:13:50.000
1645,,,,,18-00700327,Closed,2018-09-09T10:03:15.000
1646,,,,,20-00030374,Closed,2020-01-16T10:48:29.000
1647,,,,,19-00695034,Pending,2019-10-11T15:48:28.000
1648,,,,,19-00586859,Pending,2019-09-14T16:28:11.000
1649,,,,,19-00652057,Pending,2019-05-15T14:50:21.000
1650,,,,,19-00655858,Pending,2019-05-10T10:01:58.000
1651,,,,,19-00655756,Pending,2019-05-09T16:20:12.000
1652,,,,,19-00666331,Pending,2019-09-27T16:28:10.000
1653,,,,,19-00659355,Pending,2019-05-24T14:35:00.000
1654,,,,,19-00658705,Pending,2019-05-21T14:19:00.000
1655,,,,,20-00012621,Pending,2020-01-08T07:48:26.000
1656,,,,,19-00895637,Pending,2019-12-27T14:48:19.000
1657,,,,,20-00002145,Pending,2020-01-02T11:53:11.000
1658,,,,,20-00054525,Pending,2020-01-29T13:48:56.000
1659,,,,,18-00406452,Pending,2018-06-05T07:22:33.000
1660,,,,,18-00406447,Pending,2018-06-05T07:22:28.000
1661,,,,,20-00033820,Pending,2020-01-17T16:23:23.000
1662,,,,,19-00653010,Pending,2019-07-05T17:28:00.000
1663,,,,,19-00666301,Pending,2019-09-27T16:18:26.000
1664,,,,,19-00556528,Pending,2019-09-09T20:21:10.000
1665,,,,,19-00661492,Pending,2019-05-24T12:04:00.000
1666,,,,,19-00661992,Pending,2019-05-24T12:06:00.000
1667,,,,,19-00653009,Pending,2019-05-20T15:33:00.000
1668,,,,,19-00652650,Pending,2019-05-11T09:35:53.000
1669,,,,,19-00555036,Pending,2019-09-09T14:04:14.000
1670,,,,,19-00555034,Pending,2019-09-09T14:03:58.000
1671,,,,,19-00555035,Pending,2019-09-09T14:04:06.000
1672,,,,,19-00506477,Pending,2019-08-22T08:15:16.000
1673,,,,,19-00663488,Open,2019-06-06T16:52:00.000
1674,,,,,19-00663206,Open,2019-06-17T09:07:00.000
1675,,,,,19-00663197,Open,2019-06-06T16:44:00.000
1676,,,,,19-00672313,Pending,2019-10-01T12:58:10.000
1677,,,,,19-00657643,Open,2019-05-30T07:56:00.000
1678,,,,,19-00663489,Open,2019-06-06T17:21:00.000
1679,,,,,19-00659360,Open,2019-06-06T16:39:00.000
1680,,,,,19-00663090,Open,2019-06-06T16:58:00.000
1681,,,,,19-00651119,Open,2019-06-06T17:15:00.000
1682,,,,,19-00473342,Pending,2019-08-14T13:52:22.000
1683,,,,,19-00474405,Pending,2019-08-14T15:01:10.000
